can_be_random,objective,target,narration_text,narration_audio_url,use_avatar,avatar_video_url,title_a,text_1,text_2,text_3,text_4,images_length,image_1_url,image_2_url,image_3_url,question_text,answer_1_text,answer_2_text,answer_3_text,answer_4_text,correct_answer_text,correct_answer_number,correct_letter_image_url,narration_answer_text,narration_answer_audio_url
FALSE,Introdução,scene_01_intro,Curso grátis de Gestão de Contas a Pagar e a Receber com conteúdo que você escolher?,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/7406c751-f0f4-4642-814c-87a1a69748c7.mp3,FALSE,,Gestão de Contas a Pagar e a Receber • Gestão de Contas a Pagar e a Receber • Gestão de Contas a Pagar e a Receber •,,,,,0,,,,,,,,,,,,,
FALSE,Introdução,scene_02_intro,Você já estudou coisas que não eram importantes para você? Quem NÃO?,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/ae8bfbc5-55ea-4ec0-b758-80439c7f6216.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Introdução,scene_03_intro,"Mas AQUI, você escolhe os capítulos e tem os projetos práticos e ferramentas digitais voltadas para os SEUS objetivos!",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/add65e18-4841-4643-9bcc-ebe42666eff6.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Introdução,scene_04_intro,E isso tudo com os GRANDES especialistas em suas áreas!,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/8e2189c4-a6d8-4490-aa24-67c34407b76b.mp3,FALSE,,,,,,,1,https://apoia-content-engine-staging.s3.amazonaws.com/media/mentors/maron.png,,,,,,,,,,,,
FALSE,Mentor,scene_01_mentor,"Sou Maron Guimarães, passei por empresas como Kroton e atualmente sou CFO do A.C.Camargo Cancer Center.",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/74e0262c-5478-4671-8872-96c458087f9c.mp3,TRUE,https://files.heygen.ai/aws_pacific/avatar_tmp/46d1b12c3f114af89fe8d1ce34c91708/029b971fb1bc493981e281ee3740e25c.mp4?Expires=1717459086&Signature=Lc1sFmRDip~b4UfJvEHpL8n5zF~N3KzAWud51YrlSJ7qXo2xW9LyLTaX39trUzMLxfHmQuP5TlJCe8UcexUXtOG8sWJXnvTjWt7w49FfCfOm~VofFmLeWVo0jIa13W91WDwgSMna6Br6HzneO1UGy765CIV73XGry50I8wiunMpv-QbKNkRe8mt21dg4A6qgdN1ZaEkwc7fACQvjsphu4g7idgr6PIUVx-GRFBMfQ6n-zuM7JnafmB7~VTNfLY25b6rNNlyQ-0FauLyI9eXiaKgjUorg-QmhnPwgO-qJ-khSpFANh7MMdq5714Xd8Yi5PQjo5QITxmoiA7wBMjIsBA__&Key-Pair-Id=K49TZTO9GZI6K,Maron Guimarães,CFO do A.C.Camargo Cancer Center,,,,0,,,,,,,,,,,,,
FALSE,Mentor,scene_02_mentor,"Além disso, gosto DEMAIS de Futebol.",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/390f0ef6-2ce8-4110-b5f8-159e974fba60.mp3,FALSE,,,,,,,3,https://f.i.uol.com.br/fotografia/2023/09/08/169422498964fbd25d4c61d_1694224989_3x2_md.jpg,https://cdn.espn.com.br/image/wide/622_5c51b12b-2f99-4a95-80e1-d1546f31d962.jpg,https://cdn.espn.com.br/image/wide/622_433a022b-2631-4e85-8703-442c98007aa5.jpg,,,,,,,,,,
FALSE,Mentor,scene_03_mentor,"Se gostar do nosso vídeo, não esqueça de seguir a gente para receber conteúdo gratuito relevante para sua profissão ou interesses pessoais e dar um like no vídeo para nos apoiar.",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/08f48fd2-fa4c-4cda-84bb-5e4f24060738.mp3,TRUE,https://files.heygen.ai/aws_pacific/avatar_tmp/46d1b12c3f114af89fe8d1ce34c91708/2815f4264f2146899d7fccfc4b8ffafa.mp4?Expires=1717459185&Signature=kquO14T3PXALJfG4FPAbmeA1lKQa0NqRkl-BBhpKcP-H6jKRHEylxenf1SaPkwWOaQhkLSfFmsUYSzdmS5psHj0Tc9kQLH1dT2f5OIrkeooY96k6y73mGpxxy5xThh3UCG6prDia1GhhPAFPQWDZDcLoNvebKjtSKgk8ga5sDIB65Ejojs8CjOV8G6ksC8-021AOkkfqpF-fTR222XvAyuOFlPBMPX7qnzTEI-fUuey2Sz~RqH1ObWJhS7uEbCxtx1A581UVketcmUxylmov~f2n2CQB1P0nNuEMSl~b5PCvoOQc8V8eGdLYMwEhXtIf0Z4X~4obTmV8f~ZlHoQW2Q__&Key-Pair-Id=K49TZTO9GZI6K,Curso de Fianças,,,,,0,,,,,,,,,,,,,
FALSE,Mentor,scene_04_mentor,"Visite o nosso site, no link abaixo, para fazer seu PRIMEIRO curso!",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/24b9c4a3-1e09-478b-9d82-85f30f450843.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_01_presentation,"Eu sou um dos especialistas do curso de Gestão de Contas a Pagar e a Receber na Apoia e procuramos cobrir os PRINCIPAIS tópicos, como: ",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/cd34f0d0-659f-4a6f-b008-54071db4ffbb.mp3,TRUE,https://files.heygen.ai/aws_pacific/avatar_tmp/46d1b12c3f114af89fe8d1ce34c91708/b19dd1a2a3ba46b78555cca5b61aa9ea.mp4?Expires=1717461281&Signature=HYoU6MCPigA4JwQosZpr~RnslupcbmGc92oN0HMZ9se54KBlrnVd0O274Q5ltptE~gZ6I6~lbT86qlPc2UYR8NK6wFkudGOUCCY2tar4YZO0wpFQmZeHq43WCdD23ELTI6oQ5fZ5ZYW6Ysl8b05edyEza~yfCERylbpJSqbjqyKG~0AtUXRGxpmjGQ3guGHuiwJ8xcpBVpKRoY3C7LznOUb1np5H5vFjsPWCGvK-ZfPI3ZuZ90GsCtQa7x6LVgJcSvj7xF~zf3ntsKA5FchNL8ed8LiWw2FISSxXHN7FlqiVq3N5h3EQDmfze0zWT7W9-YoFEBKl~tnGfsA9BHaMMw__&Key-Pair-Id=K49TZTO9GZI6K,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_02_presentation,Demonstrativos financeiros ... Gestão de fluxo de caixa ... Negociação de prazos ... e também Monitoramento de contas.,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/f3cc0908-cb4f-474a-8332-fdf93a9eaff1.mp3,FALSE,,Demonstrativos financeiros,Gestão de fluxo de caixa,Negociação de prazos,Monitoramento de contas,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_03_presentation,"Mas, isso é só o plano inicial… Agora, vou te explicar como funciona, pois tenho que te mostrar como somos únicos!",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/4f5da8ac-1eec-47a8-81e6-74149c92650b.mp3,TRUE,https://files.heygen.ai/aws_pacific/avatar_tmp/46d1b12c3f114af89fe8d1ce34c91708/90f5a34b86ec4702ae833e93fe623fe1.mp4?Expires=1717508972&Signature=ljd-DzxSIeCw7dTgPP45OqE7q7tUdqJeX92uRsdUn1ezW7mSl1QSMtMcXegb6Lo8jS-~EEc3cpA7AUNg6Vf2~T53RzSmUoSTwXqPkk3iqH7Y~DwkhSkNU41pIGGfnM1FmXpDXm2xFevpD33NLurIuhSH6Ziy97SR2D~zFNdEZnbCwUHlrY68DvSNS-mu8Nqp2NrsoO6iBKSLO1GZZGfGswz4pijfZEPHp1kH9NepDuXnDoi49MuU5rD9zp82zlofLrack2Qlr54jH7yzSG8B5FPWK7V4LOw4WJhA9YQXUDUvQw-MXBE~T4rVilCMC4uD3Y6xy9pjVxs9NZfH1GsPBQ__&Key-Pair-Id=K49TZTO9GZI6K,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_04_presentation,"Na Apoia, acreditamos em 5 pilares:",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/f2ee8b6a-cb6e-4e7c-b9ea-3fa6edbfe992.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_05_presentation,Cursos GRATUITOS. Nossos cursos possuem uma versão gratuita com conteúdo de alta qualidade e é um curso completo.,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/5e20dd3b-38a7-48b3-8970-583d10fe71f6.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_06_presentation,"Importante é a JORNADA! Pensamos a jornada do seu desenvolvimento pessoal e profissional com cursos online, rápidos e diretos, e não cursos de 80 horas",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/588f7dc3-ae4c-43b0-967a-7d9fe8d0c7da.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_07_presentation,Quer acompanhar seu PROGRESSO? Descubra sua posição e chegue no ranking dos melhores do mercado!,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/de21d500-c583-4d19-8e32-cca92f5e7287.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_08_presentation,"Sozinho não se vai LONGE! Aqui, temos especialistas para te ajudar a explorar novos caminhos e com certificado ao fim do curso",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/c673bd4c-7deb-43d1-837c-ea240a47fd40.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_09_presentation,"Tem que ser do SEU JEITO! Escolher os capítulos do curso? Básico, intermediário ou avançado? Isso, e muito mais, vai deixar seu estudo prazeroso aqui.",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/8a8c50f0-ed7d-445f-bee0-7f5c031e829f.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Conclusão,scene_01_conclusion,"Não ACREDITA? Explore novas formas de aprender, continue na busca por melhorar sua jornada, e deixe-nos te apoiar nesse caminho! Um grande abraço!",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/2da1e410-7f16-46a2-8ebe-8b790defe8ad.mp3,TRUE,https://files.heygen.ai/aws_pacific/avatar_tmp/46d1b12c3f114af89fe8d1ce34c91708/b3d903d31fe640229fa9a17a56851c26.mp4?Expires=1717459361&Signature=XBNkV5AH64R-qbFVWJEtkMS7vQJGaNTDTi3SSukiFGQPfdewE5ORHbKbYiBIc5wOAmabZkWBAtdVr6eRwA-z88jUHwv59D7FMOmaVH9V024wVeu3D4MjJYdwa8SM9q--uAoYTM890U9litigCc9ksStagvgoJNfqX~Cct3vZtH90d8FMzROpiUcWuGS5ak4qbN~LSK~FGZMiBLPDySuWvRulLzFRbbNIjZMdt3ylFach-~Nk8dQtAsIKW9LGNnSoiMp15OSg3Agb5VuESomr5Tu7mbNlM9q5w43JT1Ceu1rCdPLqKv3qlBYSbLikXcqk-0imI3hPFzj5PB4MR0bXyg__&Key-Pair-Id=K49TZTO9GZI6K,,,,,,0,,,,,,,,,,,,,
FALSE,Assinatura,scene_brand_signature,,,,,,,,,,0,,,,,,,,,,,,,